patternName,concurrency,memorySize,averageRps,rpsScore,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
kill15,2,2496.0,3.1,0.65,3502.2,2821,1,1291.80186,1436.8,3.18,7.6086378455,15.142
high15,8,1728.0,10.77,0.89,11862.7875,9849,10,6377.11449,7029.8,11.46,7.83648848768,15.842
high15,13,1472.0,11.23,0.95,12278.40625,10306,12,7916.12952,8541.5,11.84,7.91191597209,16.229
ramp20,12,2496.0,10.29,0.92,15712.125,12491,11,5768.65006,6446.0,11.88,7.85391809311,15.32
high15,6,1728.0,8.37,0.61,9266.4,7655,5,4973.64961,5491.2,8.69,7.85521997389,16.102
kill15,4,1728.0,4.59,0.96,5061.15,4201,3,2719.04707,2999.2,4.75,7.65602521408,15.319
med15,14,2240.0,9.16,0.9,9949.625,8347,13,4324.94055,4548.4,9.51,7.81789760766,16.091
med15,5,2496.0,9.0,0.84,10205.56875,8198,4,3737.22993,4186.9,9.44,7.69247695684,15.307
med15,10,2752.0,9.18,0.91,11080.83125,8350,9,3543.44193,4123.1,9.53,7.90160713004,19.763
kill15,7,1472.0,4.58,0.95,5011.7,4204,6,3246.81249,3486.4,4.73,7.70030593824,15.339
highwave20,12,1984.0,9.31,0.95,13582.84375,11336,11,6480.50046,7010.5,11.83,7.9080176258,15.538
med15,2,1984.0,3.05,-0.3,3327.4625,2782,1,1591.18799,1717.4,3.16,7.63609234639,15.269
high15,17,3008.0,11.41,0.97,13027.8125,10373,16,4152.2435,4435.0,11.89,7.78079651555,15.193
ramp20,14,2496.0,10.28,0.92,15753.075,12486,15,5798.27329,6462.8,11.88,7.93509007279,17.339
highwave20,7,2240.0,9.28,0.95,13067.03125,11268,6,5676.93832,5973.5,11.76,7.77554355153,16.421
kill15,15,1216.0,4.5,0.94,5009.23125,4189,14,4075.8319,4218.3,4.7,7.88367761123,15.325
kill15,10,1984.0,4.64,0.97,5193.275,4240,9,2470.11502,2680.4,4.75,7.82952035773,15.156
med15,20,1216.0,8.94,0.82,9801.8625,8286,19,7875.27394,8254.2,9.34,7.73785490668,15.403
highwave20,6,2752.0,9.28,0.95,14486.7,11258,7,4686.66997,5390.4,11.88,7.68319121172,15.372
high15,4,2496.0,7.57,0.51,8576.5875,6892,4,3146.35701,3518.6,7.86,7.72154538863,15.332
high15,18,2496.0,11.36,0.96,13218.80625,10346,17,4883.54543,5423.1,11.88,7.83536649619,15.273
kill15,3,3008.0,4.67,0.97,5130.05,4241,2,1631.26178,1746.4,4.76,8.02606575536,15.425
med15,2,1472.0,2.33,-0.3,2508.725,2147,1,1615.48861,1745.2,2.43,7.61074068901,15.136
med15,15,2240.0,9.14,0.89,10142.78125,8345,16,4388.26167,4636.7,9.51,7.78068209544,15.384
highwave20,2,2752.0,4.19,0.14,6692.4125,5081,1,2103.6207,2490.2,4.43,7.66957831562,15.265
high15,16,2240.0,11.36,0.96,12439.65625,10352,15,5373.81193,5686.7,11.88,7.84271042732,18.246
high15,9,2752.0,11.4,0.97,13716.73125,10362,8,4352.21929,5103.9,11.91,7.86219382835,15.648
med15,19,2240.0,9.07,0.87,10269.21875,8355,21,4440.57627,4694.5,9.49,7.87985374881,15.205
kill15,14,1216.0,4.53,0.94,4951.4,4198,13,4040.48474,4169.6,4.71,7.89546426027,16.277
ramp20,12,1472.0,10.15,0.88,14768.15625,12422,12,9570.63361,10273.5,11.78,7.88031775776,15.973
med15,8,1216.0,7.73,0.39,8058.49375,7177,9,6567.09871,6786.1,8.26,7.67575647092,16.645
highwave20,15,1472.0,9.22,0.94,13411.73125,11281,14,8694.29358,9329.9,11.84,7.79332899513,15.909
high15,15,1728.0,11.32,0.96,12649.1625,10350,14,6830.01264,7495.8,11.84,7.87790438055,17.119
kill15,3,2752.0,4.65,0.97,5501.04375,4229,2,1756.8293,2046.9,4.76,7.68362987473,15.301
ramp20,10,2240.0,10.27,0.92,14940.625,12478,9,6479.9365,6830.0,11.84,7.82313341876,16.187
ramp20,11,1984.0,10.26,0.91,14913.13125,12496,10,7081.05075,7697.1,11.84,7.86499640173,16.13
highwave20,17,2496.0,9.33,0.96,14489.9625,11347,16,5351.4788,5944.6,11.89,7.90549713984,15.576
highwave20,19,1472.0,9.26,0.95,13518.5375,11329,18,8735.90787,9404.2,11.78,7.74835921389,15.675
highwave20,2,1216.0,2.0,-0.21,2787.3,2491,1,2254.45197,2347.2,2.13,7.70010393258,15.596
med15,9,2240.0,9.17,0.9,9801.75,8349,8,4263.50301,4480.8,9.51,7.88009213833,15.317
highwave20,7,1984.0,9.05,0.91,13043.83125,11007,6,6175.24693,6732.3,11.39,7.80270217016,15.397
med15,1,1472.0,1.13,-0.3,1248.0375,1054,1,805.8292,868.2,1.2,7.63051090047,15.174
high15,3,1216.0,3.02,-0.03,3217.76875,2789,2,2566.88918,2709.7,3.13,7.77955213185,15.297
kill15,4,2240.0,4.64,0.97,4882.9375,4239,3,2122.21319,2232.2,4.76,7.71183215464,15.367
med15,9,2752.0,9.19,0.91,10717.75,8356,8,3506.87187,3988.0,9.53,7.81749473936,15.357
med15,10,1728.0,9.08,0.87,10107.45,8316,9,5443.87458,5989.6,9.49,7.90790678679,15.528
highwave20,18,1728.0,9.28,0.95,13869.05625,11319,17,7507.11611,8218.7,11.84,7.89355733945,16.5
high15,11,1472.0,11.14,0.94,12119.41875,10253,10,7857.48428,8430.9,11.79,7.86011429407,17.154
ramp20,6,1728.0,8.17,0.32,11876.11875,9945,5,6350.51015,7037.7,8.73,7.68817648241,16.129
