patternName,concurrency,memorySize,averageRps,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
med15,15,1216.0,8.96,9536.8125,8289,14,7757.22563,8031.0,9.41,7.76355883416,15.211
medwave20,30,1984.0,8.15,12350.0125,9923,29,5877.26235,6374.2,9.48,7.71116398714,15.22
ramp20,20,2240.0,10.28,14785.75,12498,21,6469.62095,6759.2,11.88,7.86714418085,15.23
med15,8,2240.0,9.14,9768.0625,8318,7,4235.4911,4465.4,9.48,7.89618726727,15.611
med15,6,1984.0,8.88,9674.7125,8110,5,4627.88509,4993.4,9.24,7.63513308688,15.184
high15,4,1472.0,4.84,5233.9375,4453,3,3361.55007,3641.0,5.03,7.74773743268,15.25
med15,8,1216.0,7.82,8210.1375,7240,8,6640.62136,6913.8,8.29,7.75312472406,20.202
kill15,40,2240.0,4.64,5901.21875,4268,39,2604.40012,2697.7,4.75,7.76361876016,15.186
high15,6,2496.0,11.04,12480.0,10042,6,4562.99708,5120.0,11.61,7.66431817277,15.229
highwave20,8,3008.0,9.36,13853.54375,11331,7,4388.11339,4716.1,11.89,7.91244284706,15.232
medwave20,2,1728.0,2.72,3925.125,3315,1,2114.84145,2326.0,2.85,7.70872647768,15.18
kill15,30,2752.0,4.66,6470.425,4267,29,2120.98434,2407.6,4.76,7.85607867784,15.172
high15,20,1728.0,11.3,12751.0875,10337,19,6841.31375,7556.2,11.84,7.90703427964,15.478
debug1,15,1984.0,5.38,752.1375,341,14,369.63878,388.2,5.38,8.01822253521,15.116
med15,20,2496.0,9.16,10865.64375,8357,19,3983.66815,4457.7,9.49,7.89446095989,15.325
debug1,6,2752.0,5.63,623.5,346,5,207.6959,232.0,5.63,8.29182621083,15.167
highwave20,10,2240.0,9.33,13199.15625,11324,9,5741.87772,6033.9,11.89,7.81592773317,15.336
high15,40,2752.0,11.38,14572.1625,10382,39,4744.04175,5422.2,11.91,7.77734190577,15.747
medwave20,20,1216.0,7.98,11338.13125,9867,19,9218.61785,9547.9,9.39,7.89464748129,15.683
medwave20,20,1728.0,8.11,12224.08125,9899,20,6558.25796,7243.9,9.49,7.90263867325,15.249
med15,10,2240.0,9.15,9733.5,8334,9,4241.4312,4449.6,9.51,7.89779096248,15.453
highwave20,40,1984.0,9.33,14285.38125,11371,39,6788.90664,7373.1,11.86,7.79914522349,15.295
debug1,30,2752.0,5.58,1454.20625,368,29,520.12861,541.1,5.59,7.78362720403,15.144
med15,6,1728.0,7.76,8570.8125,7101,6,4616.15174,5079.0,8.04,7.84992218939,15.254
medwave20,10,1984.0,8.13,11804.21875,9890,9,5615.54338,6092.5,9.48,7.75657783615,15.218
highwave20,4,2240.0,6.93,9664.59375,8414,3,4223.33338,4418.1,7.23,7.61365961744,15.206
kill15,6,1216.0,4.51,4740.5,4184,8,3834.79044,3992.0,4.7,7.87735496183,15.729
medwave20,15,1472.0,8.07,11751.70625,9869,14,7582.66985,8175.1,9.48,7.821393504,16.131
kill15,40,3008.0,4.68,6598.2125,4283,39,2115.83886,2246.2,4.76,8.16948634891,16.711
ramp20,6,1728.0,8.04,11784.65625,9800,5,6367.6889,6983.5,8.56,7.77728189699,15.34
med15,-1,2240.0,9.17,12417.5625,8440,101,5479.4726,5676.6,9.51,7.81217082309,15.286
debug1,2,3008.0,3.95,323.41875,241,1,102.77551,110.1,3.95,7.80438842975,15.091
medwave20,4,2752.0,7.43,11878.2125,9011,3,3769.14195,4419.8,8.14,7.6591214777,15.328
ramp20,4,1472.0,4.7,6762.0,5774,3,4355.01727,4704.0,5.04,7.69664324044,15.455
high15,30,2240.0,11.35,12547.71875,10349,29,5495.2834,5736.1,11.88,7.78999971093,15.314
debug1,20,2496.0,5.46,1019.3625,347,19,399.0941,418.2,5.46,8.3922704918,19.809
ramp20,6,3008.0,10.3,15163.66875,12465,6,4818.85195,5162.1,11.84,7.87686216021,16.035
debug1,20,2240.0,5.5,935.375,351,19,418.46976,427.6,5.5,8.00457027027,15.168
kill15,15,1472.0,4.56,5450.425,4205,23,3547.29817,3791.6,4.75,7.708865421,15.212
medwave20,10,2240.0,8.16,11638.59375,9915,9,5062.43632,5320.5,9.51,7.83877367997,15.268
med15,30,2496.0,9.16,11149.125,8356,29,4112.36678,4574.0,9.51,7.87084257603,17.181
highwave20,4,2496.0,7.23,10963.875,8778,4,4033.60038,4498.0,7.84,7.67904179003,15.332
ramp20,20,1728.0,10.24,15294.15,12479,21,8212.25066,9063.2,11.86,7.85760672,15.397
kill15,20,3008.0,4.67,5795.39375,4262,19,1850.48664,1972.9,4.76,8.05011936463,17.133
highwave20,10,3008.0,9.36,13990.43125,11338,10,4438.44081,4762.7,11.91,7.9175311068,15.222
ramp20,40,1216.0,10.08,14534.525,12436,39,11915.40363,12239.6,11.69,7.81971807615,15.591
kill15,10,1728.0,4.61,5227.70625,4215,9,2815.20652,3097.9,4.75,7.80132173295,15.497
kill15,2,2752.0,3.57,4359.125,3254,2,1374.06199,1622.0,3.81,7.64796253071,15.706
high15,8,2496.0,11.34,12876.58125,10309,7,4722.89185,5282.7,11.86,7.8445139589,17.414
high15,15,3008.0,11.36,12979.6375,10331,16,4125.49432,4418.6,11.91,7.8835752392,15.181
debug1,15,1728.0,4.98,743.175,320,14,419.00135,440.4,4.98,8.71807185629,15.142
highwave20,4,3008.0,8.01,11809.04375,9703,3,3745.50895,4020.1,9.33,7.7467216155,15.227
medwave20,2,2240.0,3.52,4997.34375,4285,1,2167.97183,2284.5,3.71,7.69286187587,15.384
ramp20,8,2240.0,10.27,14369.25,12466,7,6278.35982,6568.8,11.86,7.8123983805,15.248
debug1,2,1728.0,2.31,192.54375,141,1,104.79301,114.1,2.31,8.08380985915,15.138
kill15,20,1472.0,4.58,5424.55,4736,19,3472.66998,3773.6,4.75,7.71464079916,15.188
high15,8,1216.0,7.81,8266.30625,7223,8,6661.49008,6961.1,8.21,7.7968626746,15.408
ramp20,-1,3008.0,10.32,18311.2,12575,87,5860.41819,6233.6,11.93,7.93652708893,15.305
ramp20,15,1728.0,10.21,15172.81875,12444,19,8157.54608,8991.3,11.86,7.90075391158,15.353
highwave20,10,2496.0,9.36,14211.35625,11348,9,5203.20557,5830.3,11.88,7.83221017874,15.491
med15,4,1216.0,3.91,4174.0625,3859,4,3361.5333,3515.0,4.15,7.77715790836,15.33
ramp20,30,2240.0,10.28,15089.8125,12500,30,6583.73348,6898.2,11.88,7.82271915403,15.61
ramp20,40,1728.0,10.25,15797.025,12503,40,8482.31441,9361.2,11.84,7.88966052778,15.407
ramp20,8,3008.0,10.31,15248.85625,12489,8,4829.82069,5191.1,11.88,7.81665247659,15.27
ramp20,10,1728.0,10.24,15016.725,12467,9,8068.81946,8898.8,11.84,7.87980995511,15.326
medwave20,-1,2240.0,8.16,14174.78125,9995,100,6240.29231,6479.9,9.51,7.87009727588,15.312
kill15,8,1216.0,4.5,4804.625,4190,7,3909.50166,4046.0,4.7,7.89634477007,15.264
med15,30,1728.0,9.09,10619.94375,8331,30,5704.46232,6293.3,9.49,7.94926133238,16.099
medwave20,30,2240.0,8.16,11998.65625,9923,29,5273.91558,5485.1,9.51,7.77861615756,16.029
high15,40,3008.0,11.39,13884.975,10374,39,4422.21127,4726.8,11.91,7.79605464323,15.194
debug1,4,2752.0,5.55,521.10625,335,3,174.68601,193.9,5.56,8.00053550296,15.115
high15,15,2752.0,11.4,14093.7875,10365,14,4457.33962,5244.2,11.91,7.85189074092,15.572
debug1,6,2240.0,5.33,516.03125,324,5,227.26696,235.9,5.34,8.15605167173,15.089
high15,6,1728.0,8.33,9092.25,7615,6,4882.2259,5388.0,8.74,7.77471998425,15.987
