patternName,concurrency,memorySize,averageRps,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
ramp20,-1,1472.0,10.18,17440.325,12568,134,11465.30468,12132.4,11.78,7.98376389545,15.751
kill15,-1,2496.0,4.63,7372.95,4286,64,2826.97293,3024.8,4.76,7.76729632184,15.378
ramp20,-1,3008.0,10.35,18932.775,12613,88,6086.98064,6445.2,11.93,7.79854263444,15.736
med15,-1,1728.0,9.1,13264.25625,8433,123,7368.64358,7860.3,9.46,8.16277512856,15.207
high15,-1,2240.0,11.34,15557.0625,10420,105,6673.31802,7111.8,11.84,7.8971328266,15.23
highwave20,-1,1216.0,8.98,17345.93125,11416,154,13942.42272,14607.1,11.59,8.09447165082,16.01
ramp20,-1,2240.0,10.29,18383.96875,12591,104,7803.29154,8404.1,11.86,7.84340716818,15.817
high15,-1,1216.0,10.98,16559.56875,10431,181,13430.8906,13944.9,11.69,8.14231605729,20.18
high15,-1,3008.0,11.37,16553.9875,10423,94,5332.30132,5635.4,11.89,7.81627289151,16.156
medwave20,-1,1472.0,8.06,15303.9125,9990,140,10163.27702,10646.2,9.46,7.99923079961,15.94
med15,-1,2496.0,9.15,13624.40625,8426,100,5185.70603,5589.5,9.49,7.86836101337,16.061
high15,-1,2752.0,11.36,17283.85,10426,95,5624.51287,6431.2,11.89,7.80410882996,15.206
ramp20,-1,1216.0,9.5,13545.93125,12575,3969,10671.59913,11407.1,11.84,7.9062423235,16.292
med15,-1,1216.0,8.87,13893.9875,8443,157,11242.20756,11700.2,9.34,8.09656406977,16.033
medwave20,-1,1728.0,8.1,15317.26875,9996,135,8481.89182,9076.9,9.46,8.07349866746,15.782
medwave20,-1,1216.0,7.9,15850.15625,10001,175,12869.12889,13347.5,9.33,8.10130738994,16.396
med15,-1,1984.0,9.11,12867.90625,8425,114,6281.35107,6641.5,9.49,7.84011336222,15.219
kill15,-1,1728.0,4.63,6728.23125,4289,62,3732.99563,3987.1,4.73,8.14060193059,15.227
highwave20,-1,1472.0,9.03,17131.55,11434,141,11299.37996,11917.6,11.78,8.01405693305,16.002
ramp20,-1,2496.0,10.29,18635.41875,12583,117,7055.91622,7645.3,11.88,7.9108507874,15.676
kill15,-1,1216.0,4.48,7825.3875,4287,110,6380.50937,6589.8,4.7,8.30910302479,16.459
medwave20,-1,2752.0,8.18,16781.2875,10007,100,5481.99104,6244.2,9.51,7.72077441377,15.577
medwave20,-1,2240.0,8.11,15576.75,9976,107,6556.31512,7120.8,9.46,7.92879014182,15.412
kill15,-1,2752.0,4.65,7393.04375,4284,56,2483.36964,2750.9,4.76,7.69028179724,15.179
high15,-1,1728.0,11.24,16908.58125,10437,169,9389.42277,10019.9,11.84,8.23050763719,19.664
ramp20,-1,1728.0,10.22,18190.74375,12566,123,10055.92646,10779.7,11.79,8.01163291039,16.244
kill15,-1,3008.0,4.67,7071.15,4287,47,2287.75555,2407.2,4.75,7.94003207199,15.315
med15,-1,1472.0,9.01,13399.65625,8424,178,8906.16934,9321.5,9.46,8.12881829807,16.302
highwave20,-1,2240.0,9.32,16865.84375,11431,105,7207.91129,7710.1,11.89,7.81039433079,16.01
highwave20,-1,2496.0,9.35,17469.075,11442,103,6597.67967,7166.8,11.88,7.77670151581,16.083
kill15,-1,1984.0,4.64,6676.81875,4292,62,3263.2466,3446.1,4.75,7.91629696831,15.996
med15,-1,2752.0,9.16,14807.05,8433,99,4866.76285,5509.6,9.53,7.86520827473,16.109
high15,-1,1984.0,11.31,15327.175,10427,115,7452.04198,7910.8,11.86,7.91379206982,22.309
med15,-1,3008.0,9.22,13723.70625,8455,87,4426.86722,4671.9,9.54,7.7229720206,16.064
med15,-1,2240.0,9.14,13243.5625,8426,103,5682.7059,6054.2,9.51,7.84675366397,15.212
ramp20,-1,1984.0,10.24,17682.59375,12565,113,8571.56956,9126.5,11.79,7.84611176842,16.906
highwave20,-1,1728.0,9.23,18024.525,11416,169,10034.65782,10681.2,11.84,8.09826974536,15.749
highwave20,-1,3008.0,9.39,16600.69375,11440,92,5316.15616,5651.3,11.89,7.88061654527,15.2
highwave20,-1,1984.0,9.3,16469.9125,11415,115,8030.71243,8500.6,11.83,7.85332072853,16.106
medwave20,-1,2496.0,8.15,15686.53125,9999,103,5973.30631,6435.5,9.49,7.88674529796,15.184
ramp20,-1,2752.0,10.3,20151.4125,12574,97,6534.31651,7498.2,11.88,7.76577704996,15.491
highwave20,-1,2752.0,9.36,18771.1125,11444,96,6092.51755,6984.6,11.86,7.84259055459,15.304
kill15,-1,2240.0,4.63,7077.21875,4286,64,3037.51588,3235.3,4.75,7.82351471264,15.188
kill15,-1,1472.0,4.52,7150.125,4291,80,4761.90119,4974.0,4.7,8.03284694578,15.275
medwave20,-1,3008.0,8.19,15539.375,10018,96,5001.39432,5290.0,9.49,7.78648635555,15.47
high15,-1,2496.0,11.33,16196.45625,10433,102,6143.50151,6644.7,11.88,7.8248043664,15.308
medwave20,-1,1984.0,8.12,14681.2125,9988,113,7177.42775,7577.4,9.49,7.82136105336,15.336
high15,-1,1472.0,11.21,15835.93125,10436,140,10479.05468,11016.3,11.84,8.08839740923,15.557
